Scenarios,Camps Name,Mu,delta_D,alpha,delta_R,lambda_C,lambda_S,omega,Supply,Optimal Allocated Aid
Scenario 1,Camp 1,1.0,20.0,0.25,1.0,428.4,2882.1,813.6743929155606,30287,2001.0
Scenario 1,Camp 2,1.0,20.0,0.25,1.0,642.6,2860.68,1220.0376164499855,30287,2389.0
Scenario 1,Camp 3,1.0,20.0,0.25,1.0,1071.0,2817.84,2032.7639162612365,30287,3163.0
Scenario 1,Camp 4,1.0,20.0,0.25,1.0,4282.8,4500.96,8125.933994354047,30287,9733.0
Scenario 1,Camp 5,1.0,20.0,0.25,1.0,2483.6,742.52,4712.635690812483,30287,4369.0
Scenario 1,Camp 6,1.0,20.0,0.25,1.0,1698.4,2074.0,3223.017049266283,30287,3987.0
Scenario 1,Camp 7,1.0,20.0,0.25,1.0,2174.4,1628.42,4126.046182437925,30287,4645.0
Scenario 10,Camp 1,2.0,30.0,0.25,1.0,428.4,2882.1,312.44960398688715,15143,775.0
Scenario 10,Camp 2,2.0,30.0,0.25,1.0,642.6,2860.68,468.31105459143845,15143,995.0
Scenario 10,Camp 3,2.0,30.0,0.25,1.0,1071.0,2817.84,780.0337304198586,15143,1431.0
Scenario 10,Camp 4,2.0,30.0,0.25,1.0,4282.8,4500.96,3117.0796669005454,15143,4919.0
Scenario 10,Camp 5,2.0,30.0,0.25,1.0,2483.6,742.52,1807.9032314468886,15143,2619.0
Scenario 10,Camp 6,2.0,30.0,0.25,1.0,1698.4,2074.0,1236.557418820447,15143,1987.0
Scenario 10,Camp 7,2.0,30.0,0.25,1.0,2174.4,1628.42,1582.9158114106647,15143,2417.0
Scenario 100,Camp 1,1.0,50.0,0.75,3.0,428.4,2882.1,1677.865906939423,30287,1016.0
Scenario 100,Camp 2,1.0,50.0,0.75,3.0,642.6,2860.68,2515.8214878681842,30287,1524.0
Scenario 100,Camp 3,1.0,50.0,0.75,3.0,1071.0,2817.84,4191.732346067994,30287,2538.0
Scenario 100,Camp 4,1.0,50.0,0.75,3.0,4282.8,4500.96,16756.368063043665,30287,10148.0
Scenario 100,Camp 5,1.0,50.0,0.75,3.0,2483.6,742.52,9717.85621654773,30287,5885.0
Scenario 100,Camp 6,1.0,50.0,0.75,3.0,1698.4,2074.0,6646.135692031777,30287,4024.0
Scenario 100,Camp 7,1.0,50.0,0.75,3.0,2174.4,1628.42,8508.258684611925,30287,5152.0
Scenario 101,Camp 1,1.33,20.0,0.75,3.0,428.4,2882.1,694.9444386091844,22772,858.0
Scenario 101,Camp 2,1.33,20.0,0.75,3.0,642.6,2860.68,1041.878580158912,22772,1228.0
Scenario 101,Camp 3,1.33,20.0,0.75,3.0,1071.0,2817.84,1735.7466410462248,22772,1964.0
Scenario 101,Camp 4,1.33,20.0,0.75,3.0,4282.8,4500.96,6937.812544366801,22772,7574.0
Scenario 101,Camp 5,1.33,20.0,0.75,3.0,2483.6,742.52,4023.696845271063,22772,4314.0
Scenario 101,Camp 6,1.33,20.0,0.75,3.0,1698.4,2074.0,2751.9295625112095,22772,3016.0
Scenario 101,Camp 7,1.33,20.0,0.75,3.0,2174.4,1628.42,3522.8939405028727,22772,3818.0
Scenario 102,Camp 1,1.33,30.0,0.75,3.0,428.4,2882.1,825.749511774538,22772,764.0
Scenario 102,Camp 2,1.33,30.0,0.75,3.0,642.6,2860.68,1237.9849108748595,22772,1146.0
Scenario 102,Camp 3,1.33,30.0,0.75,3.0,1071.0,2817.84,2062.4554450377495,22772,1908.0
Scenario 102,Camp 4,1.33,30.0,0.75,3.0,4282.8,4500.96,8243.673886734861,22772,7630.0
Scenario 102,Camp 5,1.33,30.0,0.75,3.0,2483.6,742.52,4781.05229845553,22772,4424.0
Scenario 102,Camp 6,1.33,30.0,0.75,3.0,1698.4,2074.0,3269.908163060328,22772,3026.0
Scenario 102,Camp 7,1.33,30.0,0.75,3.0,2174.4,1628.42,4185.98637500526,22772,3874.0
Scenario 103,Camp 1,1.33,40.0,0.75,3.0,428.4,2882.1,918.5571881514094,22772,764.0
Scenario 103,Camp 2,1.33,40.0,0.75,3.0,642.6,2860.68,1377.1245668233266,22772,1146.0
Scenario 103,Camp 3,1.33,40.0,0.75,3.0,1071.0,2817.84,2294.259030453665,22772,1908.0
Scenario 103,Camp 4,1.33,40.0,0.75,3.0,4282.8,4500.96,9170.197254084367,22772,7630.0
Scenario 103,Camp 5,1.33,40.0,0.75,3.0,2483.6,742.52,5318.404544056507,22772,4424.0
Scenario 103,Camp 6,1.33,40.0,0.75,3.0,1698.4,2074.0,3637.4198288283524,22772,3026.0
Scenario 103,Camp 7,1.33,40.0,0.75,3.0,2174.4,1628.42,4656.457944494428,22772,3874.0
Scenario 104,Camp 1,1.33,50.0,0.75,3.0,428.4,2882.1,990.5444146040628,22772,764.0
Scenario 104,Camp 2,1.33,50.0,0.75,3.0,642.6,2860.68,1485.0496686288357,22772,1146.0
Scenario 104,Camp 3,1.33,50.0,0.75,3.0,1071.0,2817.84,2474.059859946591,22772,1908.0
Scenario 104,Camp 4,1.33,50.0,0.75,3.0,4282.8,4500.96,9888.86461073942,22772,7630.0
Scenario 104,Camp 5,1.33,50.0,0.75,3.0,2483.6,742.52,5735.207326962505,22772,4424.0
Scenario 104,Camp 6,1.33,50.0,0.75,3.0,1698.4,2074.0,3922.484023305133,22772,3026.0
Scenario 104,Camp 7,1.33,50.0,0.75,3.0,2174.4,1628.42,5021.38404473232,22772,3874.0
Scenario 105,Camp 1,2.0,20.0,0.75,3.0,428.4,2882.1,297.63686125746614,15143,691.0
Scenario 105,Camp 2,2.0,20.0,0.75,3.0,642.6,2860.68,446.10916641334387,15143,927.0
Scenario 105,Camp 3,2.0,20.0,0.75,3.0,1071.0,2817.84,743.0535620293593,15143,1391.0
Scenario 105,Camp 4,2.0,20.0,0.75,3.0,4282.8,4500.96,2969.3038381469114,15143,4977.0
Scenario 105,Camp 5,2.0,20.0,0.75,3.0,2483.6,742.52,1722.193391826687,15143,2693.0
Scenario 105,Camp 6,2.0,20.0,0.75,3.0,1698.4,2074.0,1177.9341826843795,15143,2001.0
Scenario 105,Camp 7,2.0,20.0,0.75,3.0,2174.4,1628.42,1507.8722703801473,15143,2463.0
Scenario 106,Camp 1,2.0,30.0,0.75,3.0,428.4,2882.1,384.69006259144777,15143,499.0
Scenario 106,Camp 2,2.0,30.0,0.75,3.0,642.6,2860.68,576.5877332032339,15143,761.0
Scenario 106,Camp 3,2.0,30.0,0.75,3.0,1071.0,2817.84,960.3827969365877,15143,1277.0
Scenario 106,Camp 4,2.0,30.0,0.75,3.0,4282.8,4500.96,3837.7695374285836,15143,5091.0
Scenario 106,Camp 5,2.0,30.0,0.75,3.0,2483.6,742.52,2225.9026684308815,15143,2917.0
Scenario 106,Camp 6,2.0,30.0,0.75,3.0,1698.4,2074.0,1522.4578452783724,15143,2021.0
Scenario 106,Camp 7,2.0,30.0,0.75,3.0,2174.4,1628.42,1948.8966374049764,15143,2577.0
Scenario 107,Camp 1,2.0,40.0,0.75,3.0,428.4,2882.1,446.45529188619923,15143,446.45529188619923
Scenario 107,Camp 2,2.0,40.0,0.75,3.0,642.6,2860.68,669.1637496200158,15143,669.1637496200158
Scenario 107,Camp 3,2.0,40.0,0.75,3.0,1071.0,2817.84,1114.580343044039,15143,1177.380958493785
Scenario 107,Camp 4,2.0,40.0,0.75,3.0,4282.8,4500.96,4453.955757220367,15143,5131.0
Scenario 107,Camp 5,2.0,40.0,0.75,3.0,2483.6,742.52,2583.2900877400307,15143,3061.0
Scenario 107,Camp 6,2.0,40.0,0.75,3.0,1698.4,2074.0,1766.9012740265691,15143,2019.0
Scenario 107,Camp 7,2.0,40.0,0.75,3.0,2174.4,1628.42,2261.808405570221,15143,2639.0
Scenario 108,Camp 1,2.0,50.0,0.75,3.0,428.4,2882.1,494.3641257426343,15143,494.3641257426343
Scenario 108,Camp 2,2.0,50.0,0.75,3.0,642.6,2860.68,740.9712866476343,15143,740.9712866476343
Scenario 108,Camp 3,2.0,50.0,0.75,3.0,1071.0,2817.84,1234.1852518557291,15143,1234.1852518557291
Scenario 108,Camp 4,2.0,50.0,0.75,3.0,4282.8,4500.96,4931.906921098551,15143,4991.0
Scenario 108,Camp 5,2.0,50.0,0.75,3.0,2483.6,742.52,2860.5013065692156,15143,3110.9730080602894
Scenario 108,Camp 6,2.0,50.0,0.75,3.0,1698.4,2074.0,1956.5063276937112,15143,1956.5063276937112
Scenario 108,Camp 7,2.0,50.0,0.75,3.0,2174.4,1628.42,2504.521629238702,15143,2615.0
Scenario 11,Camp 1,2.0,40.0,0.25,1.0,428.4,2882.1,374.21483328163856,15143,643.0
Scenario 11,Camp 2,2.0,40.0,0.25,1.0,642.6,2860.68,560.8870710082203,15143,881.0
Scenario 11,Camp 3,2.0,40.0,0.25,1.0,1071.0,2817.84,934.2312765273098,15143,1353.0
Scenario 11,Camp 4,2.0,40.0,0.25,1.0,4282.8,4500.96,3733.2658866923284,15143,4997.0
Scenario 11,Camp 5,2.0,40.0,0.25,1.0,2483.6,742.52,2165.290650756038,15143,2773.0
Scenario 11,Camp 6,2.0,40.0,0.25,1.0,1698.4,2074.0,1481.0008475686438,15143,2001.0
Scenario 11,Camp 7,2.0,40.0,0.25,1.0,2174.4,1628.42,1895.8275795759089,15143,2495.0
Scenario 12,Camp 1,2.0,50.0,0.25,1.0,428.4,2882.1,422.12366713807376,15143,539.0
Scenario 12,Camp 2,2.0,50.0,0.25,1.0,642.6,2860.68,632.694608035839,15143,791.0
Scenario 12,Camp 3,2.0,50.0,0.25,1.0,1071.0,2817.84,1053.836185339,15143,1293.0
Scenario 12,Camp 4,2.0,50.0,0.25,1.0,4282.8,4500.96,4211.217050570513,15143,5059.0
Scenario 12,Camp 5,2.0,50.0,0.25,1.0,2483.6,742.52,2442.5018695852227,15143,2893.0
Scenario 12,Camp 6,2.0,50.0,0.25,1.0,1698.4,2074.0,1670.6059012357864,15143,2011.0
Scenario 12,Camp 7,2.0,50.0,0.25,1.0,2174.4,1628.42,2138.5408032443906,15143,2557.0
Scenario 13,Camp 1,1.0,20.0,0.5,1.0,428.4,2882.1,1284.8689900698207,30287,1016.0
Scenario 13,Camp 2,1.0,20.0,0.5,1.0,642.6,2860.68,1926.555036933504,30287,1524.0
Scenario 13,Camp 3,1.0,20.0,0.5,1.0,1071.0,2817.84,3209.926898127164,30287,2538.0
Scenario 13,Camp 4,1.0,20.0,0.5,1.0,4282.8,4500.96,12831.619989033135,30287,10148.0
Scenario 13,Camp 5,1.0,20.0,0.5,1.0,2483.6,742.52,7441.698440237874,30287,5885.0
Scenario 13,Camp 6,1.0,20.0,0.5,1.0,1698.4,2074.0,5089.449412596093,30287,4024.0
Scenario 13,Camp 7,1.0,20.0,0.5,1.0,2174.4,1628.42,6515.4180069675795,30287,5152.0
Scenario 14,Camp 1,1.0,30.0,0.5,1.0,428.4,2882.1,1458.7728961573414,30287,1016.0
Scenario 14,Camp 2,1.0,30.0,0.5,1.0,642.6,2860.68,2187.3095954174146,30287,1524.0
Scenario 14,Camp 3,1.0,30.0,0.5,1.0,1071.0,2817.84,3644.38272993098,30287,2538.0
Scenario 14,Camp 4,1.0,30.0,0.5,1.0,4282.8,4500.96,14568.34867870469,30287,10148.0
Scenario 14,Camp 5,1.0,30.0,0.5,1.0,2483.6,742.52,8448.91430168726,30287,5885.0
Scenario 14,Camp 6,1.0,30.0,0.5,1.0,1698.4,2074.0,5778.294064872433,30287,4024.0
Scenario 14,Camp 7,1.0,30.0,0.5,1.0,2174.4,1628.42,7397.2640550561555,30287,5152.0
Scenario 15,Camp 1,1.0,40.0,0.5,1.0,428.4,2882.1,1582.1596811365603,30287,1016.0
