Scenarios,Camps Name,Mu,delta_D,alpha,delta_R,lambda_C,lambda_S,omega,Supply,Optimal Allocated Aid
Scenario 105,Camp 2,2.0,20.0,0.75,3.0,642.6,2860.68,446.10916641334387,12226,590.0
Scenario 105,Camp 3,2.0,20.0,0.75,3.0,1071.0,2817.84,743.0535620293593,12226,1016.0
Scenario 105,Camp 4,2.0,20.0,0.75,3.0,4282.8,4500.96,2969.3038381469114,12226,4132.0
Scenario 105,Camp 5,2.0,20.0,0.75,3.0,2483.6,742.52,1722.193391826687,12226,2382.0
Scenario 105,Camp 6,2.0,20.0,0.75,3.0,1698.4,2074.0,1177.9341826843795,12226,1638.0
Scenario 105,Camp 7,2.0,20.0,0.75,3.0,2174.4,1628.42,1507.8722703801473,12226,2096.0
Scenario 106,Camp 1,2.0,30.0,0.75,3.0,428.4,2882.1,384.69006259144777,12226,384.69006259144777
Scenario 106,Camp 2,2.0,30.0,0.75,3.0,642.6,2860.68,576.5877332032339,12226,576.5877332032339
Scenario 106,Camp 3,2.0,30.0,0.75,3.0,1071.0,2817.84,960.3827969365877,12226,960.3827969365877
Scenario 106,Camp 4,2.0,30.0,0.75,3.0,4282.8,4500.96,3837.7695374285836,12226,4060.0
Scenario 106,Camp 5,2.0,30.0,0.75,3.0,2483.6,742.52,2225.9026684308815,12226,2536.3394072687306
Scenario 106,Camp 6,2.0,30.0,0.75,3.0,1698.4,2074.0,1522.4578452783724,12226,1578.0
Scenario 106,Camp 7,2.0,30.0,0.75,3.0,2174.4,1628.42,1948.8966374049764,12226,2130.0
Scenario 107,Camp 1,2.0,40.0,0.75,3.0,428.4,2882.1,446.45529188619923,12226,410.0
Scenario 107,Camp 2,2.0,40.0,0.75,3.0,642.6,2860.68,669.1637496200158,12226,616.0
Scenario 107,Camp 3,2.0,40.0,0.75,3.0,1071.0,2817.84,1114.580343044039,12226,1024.0
Scenario 107,Camp 4,2.0,40.0,0.75,3.0,4282.8,4500.96,4453.955757220367,12226,4096.0
Scenario 107,Camp 5,2.0,40.0,0.75,3.0,2483.6,742.52,2583.2900877400307,12226,2376.0
Scenario 107,Camp 6,2.0,40.0,0.75,3.0,1698.4,2074.0,1766.9012740265691,12226,1624.0
Scenario 107,Camp 7,2.0,40.0,0.75,3.0,2174.4,1628.42,2261.808405570221,12226,2080.0
Scenario 108,Camp 1,2.0,50.0,0.75,3.0,428.4,2882.1,494.3641257426343,12226,410.0
Scenario 108,Camp 2,2.0,50.0,0.75,3.0,642.6,2860.68,740.9712866476343,12226,616.0
Scenario 108,Camp 3,2.0,50.0,0.75,3.0,1071.0,2817.84,1234.1852518557291,12226,1024.0
Scenario 108,Camp 4,2.0,50.0,0.75,3.0,4282.8,4500.96,4931.906921098551,12226,4096.0
Scenario 108,Camp 5,2.0,50.0,0.75,3.0,2483.6,742.52,2860.5013065692156,12226,2376.0
Scenario 108,Camp 6,2.0,50.0,0.75,3.0,1698.4,2074.0,1956.5063276937112,12226,1624.0
Scenario 108,Camp 7,2.0,50.0,0.75,3.0,2174.4,1628.42,2504.521629238702,12226,2080.0
Scenario 11,Camp 1,2.0,40.0,0.25,1.0,428.4,2882.1,374.21483328163856,12226,374.21483328163856
Scenario 11,Camp 2,2.0,40.0,0.25,1.0,642.6,2860.68,560.8870710082203,12226,560.8870710082203
Scenario 11,Camp 3,2.0,40.0,0.25,1.0,1071.0,2817.84,934.2312765273098,12226,968.0
Scenario 11,Camp 4,2.0,40.0,0.25,1.0,4282.8,4500.96,3733.2658866923284,12226,4126.0
Scenario 11,Camp 5,2.0,40.0,0.25,1.0,2483.6,742.52,2165.290650756038,12226,2452.8980957101403
Scenario 11,Camp 6,2.0,40.0,0.25,1.0,1698.4,2074.0,1481.0008475686438,12226,1626.0
Scenario 11,Camp 7,2.0,40.0,0.25,1.0,2174.4,1628.42,1895.8275795759089,12226,2118.0
Scenario 12,Camp 1,2.0,50.0,0.25,1.0,428.4,2882.1,422.12366713807376,12226,410.0
Scenario 12,Camp 2,2.0,50.0,0.25,1.0,642.6,2860.68,632.694608035839,12226,616.0
