Scenarios,Camps Name,Mu,delta_D,alpha,delta_R,lambda_C,lambda_S,omega,Supply,Optimal Allocated Aid
Scenario 1,Camp 1,1.0,20.0,0.25,1.0,428.4,2882.1,813.6743929155606,21534,1384.0
Scenario 1,Camp 2,1.0,20.0,0.25,1.0,642.6,2860.68,1220.0376164499855,21534,1736.0
Scenario 1,Camp 3,1.0,20.0,0.25,1.0,1071.0,2817.84,2032.7639162612365,21534,1684.0
Scenario 1,Camp 4,1.0,20.0,0.25,1.0,4282.8,4500.96,8125.933994354047,21534,6734.0
Scenario 1,Camp 5,1.0,20.0,0.25,1.0,2483.6,742.52,4712.635690812483,21534,3906.0
Scenario 1,Camp 6,1.0,20.0,0.25,1.0,1698.4,2074.0,3223.017049266283,21534,2670.0
Scenario 1,Camp 7,1.0,20.0,0.25,1.0,2174.4,1628.42,4126.046182437925,21534,3420.0
Scenario 10,Camp 1,2.0,30.0,0.25,1.0,428.4,2882.1,312.44960398688715,10767,312.44960398688715
Scenario 10,Camp 2,2.0,30.0,0.25,1.0,642.6,2860.68,468.31105459143845,10767,487.0
Scenario 10,Camp 3,2.0,30.0,0.25,1.0,1071.0,2817.84,780.0337304198586,10767,867.0
Scenario 10,Camp 4,2.0,30.0,0.25,1.0,4282.8,4500.96,3117.0796669005454,10767,3645.0
Scenario 10,Camp 5,2.0,30.0,0.25,1.0,2483.6,742.52,1807.9032314468886,10767,2151.0
Scenario 10,Camp 6,2.0,30.0,0.25,1.0,1698.4,2074.0,1236.557418820447,10767,1439.0
Scenario 10,Camp 7,2.0,30.0,0.25,1.0,2174.4,1628.42,1582.9158114106647,10767,1865.5503960131127
Scenario 100,Camp 1,1.0,50.0,0.75,3.0,428.4,2882.1,1677.865906939423,21534,722.0
Scenario 100,Camp 2,1.0,50.0,0.75,3.0,642.6,2860.68,2515.8214878681842,21534,1082.0
Scenario 100,Camp 3,1.0,50.0,0.75,3.0,1071.0,2817.84,4191.732346067994,21534,1804.0
Scenario 100,Camp 4,1.0,50.0,0.75,3.0,4282.8,4500.96,16756.368063043665,21534,7216.0
Scenario 100,Camp 5,1.0,50.0,0.75,3.0,2483.6,742.52,9717.85621654773,21534,4184.0
Scenario 100,Camp 6,1.0,50.0,0.75,3.0,1698.4,2074.0,6646.135692031777,21534,2862.0
Scenario 100,Camp 7,1.0,50.0,0.75,3.0,2174.4,1628.42,8508.258684611925,21534,3664.0
Scenario 101,Camp 1,1.33,20.0,0.75,3.0,428.4,2882.1,694.9444386091844,16191,543.0
Scenario 101,Camp 2,1.33,20.0,0.75,3.0,642.6,2860.68,1041.878580158912,16191,814.0
Scenario 101,Camp 3,1.33,20.0,0.75,3.0,1071.0,2817.84,1735.7466410462248,16191,1356.0
Scenario 101,Camp 4,1.33,20.0,0.75,3.0,4282.8,4500.96,6937.812544366801,16191,5426.0
Scenario 101,Camp 5,1.33,20.0,0.75,3.0,2483.6,742.52,4023.696845271063,16191,3146.0
Scenario 101,Camp 6,1.33,20.0,0.75,3.0,1698.4,2074.0,2751.9295625112095,16191,2152.0
Scenario 101,Camp 7,1.33,20.0,0.75,3.0,2174.4,1628.42,3522.8939405028727,16191,2754.0
Scenario 102,Camp 1,1.33,30.0,0.75,3.0,428.4,2882.1,825.749511774538,16191,543.0
Scenario 102,Camp 2,1.33,30.0,0.75,3.0,642.6,2860.68,1237.9849108748595,16191,814.0
Scenario 102,Camp 3,1.33,30.0,0.75,3.0,1071.0,2817.84,2062.4554450377495,16191,1356.0
Scenario 102,Camp 4,1.33,30.0,0.75,3.0,4282.8,4500.96,8243.673886734861,16191,5426.0
Scenario 102,Camp 5,1.33,30.0,0.75,3.0,2483.6,742.52,4781.05229845553,16191,3146.0
Scenario 102,Camp 6,1.33,30.0,0.75,3.0,1698.4,2074.0,3269.908163060328,16191,2152.0
Scenario 102,Camp 7,1.33,30.0,0.75,3.0,2174.4,1628.42,4185.98637500526,16191,2754.0
Scenario 103,Camp 1,1.33,40.0,0.75,3.0,428.4,2882.1,918.5571881514094,16191,543.0
Scenario 103,Camp 2,1.33,40.0,0.75,3.0,642.6,2860.68,1377.1245668233266,16191,814.0
Scenario 103,Camp 3,1.33,40.0,0.75,3.0,1071.0,2817.84,2294.259030453665,16191,1356.0
Scenario 103,Camp 4,1.33,40.0,0.75,3.0,4282.8,4500.96,9170.197254084367,16191,5426.0
Scenario 103,Camp 5,1.33,40.0,0.75,3.0,2483.6,742.52,5318.404544056507,16191,3146.0
Scenario 103,Camp 6,1.33,40.0,0.75,3.0,1698.4,2074.0,3637.4198288283524,16191,2152.0
Scenario 103,Camp 7,1.33,40.0,0.75,3.0,2174.4,1628.42,4656.457944494428,16191,2754.0
Scenario 104,Camp 1,1.33,50.0,0.75,3.0,428.4,2882.1,990.5444146040628,16191,543.0
Scenario 104,Camp 2,1.33,50.0,0.75,3.0,642.6,2860.68,1485.0496686288357,16191,814.0
Scenario 104,Camp 3,1.33,50.0,0.75,3.0,1071.0,2817.84,2474.059859946591,16191,1356.0
Scenario 104,Camp 4,1.33,50.0,0.75,3.0,4282.8,4500.96,9888.86461073942,16191,5426.0
Scenario 104,Camp 5,1.33,50.0,0.75,3.0,2483.6,742.52,5735.207326962505,16191,3146.0
Scenario 104,Camp 6,1.33,50.0,0.75,3.0,1698.4,2074.0,3922.484023305133,16191,2152.0
Scenario 104,Camp 7,1.33,50.0,0.75,3.0,2174.4,1628.42,5021.38404473232,16191,2754.0
Scenario 105,Camp 1,2.0,20.0,0.75,3.0,428.4,2882.1,297.63686125746614,10767,297.63686125746614
Scenario 105,Camp 2,2.0,20.0,0.75,3.0,642.6,2860.68,446.10916641334387,10767,446.10916641334387
Scenario 105,Camp 3,2.0,20.0,0.75,3.0,1071.0,2817.84,743.0535620293593,10767,811.0
Scenario 105,Camp 4,2.0,20.0,0.75,3.0,4282.8,4500.96,2969.3038381469114,10767,3667.0
Scenario 105,Camp 5,2.0,20.0,0.75,3.0,2483.6,742.52,1722.193391826687,10767,2211.0
Scenario 105,Camp 6,2.0,20.0,0.75,3.0,1698.4,2074.0,1177.9341826843795,10767,1439.0
Scenario 105,Camp 7,2.0,20.0,0.75,3.0,2174.4,1628.42,1507.8722703801473,10767,1895.2539723291902
Scenario 106,Camp 1,2.0,30.0,0.75,3.0,428.4,2882.1,384.69006259144777,10767,362.0
Scenario 106,Camp 2,2.0,30.0,0.75,3.0,642.6,2860.68,576.5877332032339,10767,542.0
Scenario 106,Camp 3,2.0,30.0,0.75,3.0,1071.0,2817.84,960.3827969365877,10767,902.0
Scenario 106,Camp 4,2.0,30.0,0.75,3.0,4282.8,4500.96,3837.7695374285836,10767,3606.0
Scenario 106,Camp 5,2.0,30.0,0.75,3.0,2483.6,742.52,2225.9026684308815,10767,2093.0
Scenario 106,Camp 6,2.0,30.0,0.75,3.0,1698.4,2074.0,1522.4578452783724,10767,1430.0
Scenario 106,Camp 7,2.0,30.0,0.75,3.0,2174.4,1628.42,1948.8966374049764,10767,1832.0
Scenario 107,Camp 1,2.0,40.0,0.75,3.0,428.4,2882.1,446.45529188619923,10767,362.0
Scenario 107,Camp 2,2.0,40.0,0.75,3.0,642.6,2860.68,669.1637496200158,10767,542.0
Scenario 107,Camp 3,2.0,40.0,0.75,3.0,1071.0,2817.84,1114.580343044039,10767,902.0
Scenario 107,Camp 4,2.0,40.0,0.75,3.0,4282.8,4500.96,4453.955757220367,10767,3607.0
Scenario 107,Camp 5,2.0,40.0,0.75,3.0,2483.6,742.52,2583.2900877400307,10767,2092.0
Scenario 107,Camp 6,2.0,40.0,0.75,3.0,1698.4,2074.0,1766.9012740265691,10767,1430.0
Scenario 107,Camp 7,2.0,40.0,0.75,3.0,2174.4,1628.42,2261.808405570221,10767,1832.0
Scenario 108,Camp 1,2.0,50.0,0.75,3.0,428.4,2882.1,494.3641257426343,10767,362.0
Scenario 108,Camp 2,2.0,50.0,0.75,3.0,642.6,2860.68,740.9712866476343,10767,542.0
Scenario 108,Camp 3,2.0,50.0,0.75,3.0,1071.0,2817.84,1234.1852518557291,10767,902.0
Scenario 108,Camp 4,2.0,50.0,0.75,3.0,4282.8,4500.96,4931.906921098551,10767,3607.0
Scenario 108,Camp 5,2.0,50.0,0.75,3.0,2483.6,742.52,2860.5013065692156,10767,2092.0
Scenario 108,Camp 6,2.0,50.0,0.75,3.0,1698.4,2074.0,1956.5063276937112,10767,1430.0
Scenario 108,Camp 7,2.0,50.0,0.75,3.0,2174.4,1628.42,2504.521629238702,10767,1832.0
Scenario 11,Camp 1,2.0,40.0,0.25,1.0,428.4,2882.1,374.21483328163856,10767,362.0
Scenario 11,Camp 2,2.0,40.0,0.25,1.0,642.6,2860.68,560.8870710082203,10767,542.0
Scenario 11,Camp 3,2.0,40.0,0.25,1.0,1071.0,2817.84,934.2312765273098,10767,902.0
Scenario 11,Camp 4,2.0,40.0,0.25,1.0,4282.8,4500.96,3733.2658866923284,10767,3607.0
Scenario 11,Camp 5,2.0,40.0,0.25,1.0,2483.6,742.52,2165.290650756038,10767,2092.0
Scenario 11,Camp 6,2.0,40.0,0.25,1.0,1698.4,2074.0,1481.0008475686438,10767,1430.0
Scenario 11,Camp 7,2.0,40.0,0.25,1.0,2174.4,1628.42,1895.8275795759089,10767,1832.0
Scenario 12,Camp 1,2.0,50.0,0.25,1.0,428.4,2882.1,422.12366713807376,10767,362.0
Scenario 12,Camp 2,2.0,50.0,0.25,1.0,642.6,2860.68,632.694608035839,10767,542.0
Scenario 12,Camp 3,2.0,50.0,0.25,1.0,1071.0,2817.84,1053.836185339,10767,902.0
Scenario 12,Camp 4,2.0,50.0,0.25,1.0,4282.8,4500.96,4211.217050570513,10767,3606.0
Scenario 12,Camp 5,2.0,50.0,0.25,1.0,2483.6,742.52,2442.5018695852227,10767,2092.0
Scenario 12,Camp 6,2.0,50.0,0.25,1.0,1698.4,2074.0,1670.6059012357864,10767,1431.0
Scenario 12,Camp 7,2.0,50.0,0.25,1.0,2174.4,1628.42,2138.5408032443906,10767,1832.0
Scenario 13,Camp 1,1.0,20.0,0.5,1.0,428.4,2882.1,1284.8689900698207,21534,722.0
Scenario 13,Camp 2,1.0,20.0,0.5,1.0,642.6,2860.68,1926.555036933504,21534,1082.0
Scenario 13,Camp 3,1.0,20.0,0.5,1.0,1071.0,2817.84,3209.926898127164,21534,1804.0
Scenario 13,Camp 4,1.0,20.0,0.5,1.0,4282.8,4500.96,12831.619989033135,21534,7216.0
Scenario 13,Camp 5,1.0,20.0,0.5,1.0,2483.6,742.52,7441.698440237874,21534,4184.0
Scenario 13,Camp 6,1.0,20.0,0.5,1.0,1698.4,2074.0,5089.449412596093,21534,2862.0
Scenario 13,Camp 7,1.0,20.0,0.5,1.0,2174.4,1628.42,6515.4180069675795,21534,3664.0
Scenario 14,Camp 1,1.0,30.0,0.5,1.0,428.4,2882.1,1458.7728961573414,21534,722.0
Scenario 14,Camp 2,1.0,30.0,0.5,1.0,642.6,2860.68,2187.3095954174146,21534,1082.0
Scenario 14,Camp 3,1.0,30.0,0.5,1.0,1071.0,2817.84,3644.38272993098,21534,1804.0
Scenario 14,Camp 4,1.0,30.0,0.5,1.0,4282.8,4500.96,14568.34867870469,21534,7216.0
Scenario 14,Camp 5,1.0,30.0,0.5,1.0,2483.6,742.52,8448.91430168726,21534,4184.0
Scenario 14,Camp 6,1.0,30.0,0.5,1.0,1698.4,2074.0,5778.294064872433,21534,2862.0
Scenario 14,Camp 7,1.0,30.0,0.5,1.0,2174.4,1628.42,7397.2640550561555,21534,3664.0
Scenario 15,Camp 1,1.0,40.0,0.5,1.0,428.4,2882.1,1582.1596811365603,21534,722.0
Scenario 15,Camp 2,1.0,40.0,0.5,1.0,642.6,2860.68,2372.3178989331122,21534,1082.0
Scenario 15,Camp 3,1.0,40.0,0.5,1.0,1071.0,2817.84,3952.6340481892757,21534,1804.0
Scenario 15,Camp 4,1.0,40.0,0.5,1.0,4282.8,4500.96,15800.577294040671,21534,7216.0
Scenario 15,Camp 5,1.0,40.0,0.5,1.0,2483.6,742.52,9163.54532821388,21534,4184.0
