Scenarios,Camps Name,Mu,delta_D,alpha,delta_R,lambda_C,lambda_S,omega,Supply,Optimal Allocated Aid
Scenario 15,Camp 6,1.0,40.0,0.5,1.0,1698.4,2074.0,6267.037123649563,21534,2862.0
Scenario 15,Camp 7,1.0,40.0,0.5,1.0,2174.4,1628.42,8022.9437834086575,21534,3664.0
Scenario 16,Camp 1,1.0,50.0,0.5,1.0,428.4,2882.1,1677.865906939423,21534,722.0
Scenario 16,Camp 2,1.0,50.0,0.5,1.0,642.6,2860.68,2515.8214878681842,21534,1082.0
Scenario 16,Camp 3,1.0,50.0,0.5,1.0,1071.0,2817.84,4191.732346067994,21534,1804.0
Scenario 16,Camp 4,1.0,50.0,0.5,1.0,4282.8,4500.96,16756.368063043665,21534,7216.0
Scenario 16,Camp 5,1.0,50.0,0.5,1.0,2483.6,742.52,9717.85621654773,21534,4184.0
Scenario 16,Camp 6,1.0,50.0,0.5,1.0,1698.4,2074.0,6646.135692031777,21534,2862.0
Scenario 16,Camp 7,1.0,50.0,0.5,1.0,2174.4,1628.42,8508.258684611925,21534,3664.0
Scenario 17,Camp 1,1.33,20.0,0.5,1.0,428.4,2882.1,802.9363295543967,16191,543.0
Scenario 17,Camp 2,1.33,20.0,0.5,1.0,642.6,2860.68,1203.7828012098105,16191,814.0
Scenario 17,Camp 3,1.33,20.0,0.5,1.0,1071.0,2817.84,2005.47548777752,16191,1356.0
Scenario 17,Camp 4,1.33,20.0,0.5,1.0,4282.8,4500.96,8015.923907037809,16191,5426.0
Scenario 17,Camp 5,1.33,20.0,0.5,1.0,2483.6,742.52,4648.965005961348,16191,3146.0
Scenario 17,Camp 6,1.33,20.0,0.5,1.0,1698.4,2074.0,3179.569616438952,16191,2152.0
Scenario 17,Camp 7,1.33,20.0,0.5,1.0,2174.4,1628.42,4070.3391132360066,16191,2754.0
Scenario 18,Camp 1,1.33,30.0,0.5,1.0,428.4,2882.1,933.7414027197503,16191,543.0
Scenario 18,Camp 2,1.33,30.0,0.5,1.0,642.6,2860.68,1399.889131925758,16191,814.0
Scenario 18,Camp 3,1.33,30.0,0.5,1.0,1071.0,2817.84,2332.1842917690446,16191,1356.0
Scenario 18,Camp 4,1.33,30.0,0.5,1.0,4282.8,4500.96,9321.785249405868,16191,5426.0
Scenario 18,Camp 5,1.33,30.0,0.5,1.0,2483.6,742.52,5406.320459145815,16191,3146.0
Scenario 18,Camp 6,1.33,30.0,0.5,1.0,1698.4,2074.0,3697.5482169880706,16191,2152.0
Scenario 18,Camp 7,1.33,30.0,0.5,1.0,2174.4,1628.42,4733.431547738393,16191,2754.0
Scenario 19,Camp 1,1.33,40.0,0.5,1.0,428.4,2882.1,1026.5490790966219,16191,543.0
Scenario 19,Camp 2,1.33,40.0,0.5,1.0,642.6,2860.68,1539.0287878742251,16191,814.0
Scenario 19,Camp 3,1.33,40.0,0.5,1.0,1071.0,2817.84,2563.9878771849603,16191,1356.0
Scenario 19,Camp 4,1.33,40.0,0.5,1.0,4282.8,4500.96,10248.308616755374,16191,5426.0
Scenario 19,Camp 5,1.33,40.0,0.5,1.0,2483.6,742.52,5943.672704746792,16191,3146.0
Scenario 19,Camp 6,1.33,40.0,0.5,1.0,1698.4,2074.0,4065.059882756095,16191,2152.0
Scenario 19,Camp 7,1.33,40.0,0.5,1.0,2174.4,1628.42,5203.903117227562,16191,2754.0
Scenario 2,Camp 1,1.0,30.0,0.25,1.0,428.4,2882.1,987.5782990030812,21534,722.0
Scenario 2,Camp 2,1.0,30.0,0.25,1.0,642.6,2860.68,1480.792174933896,21534,1082.0
Scenario 2,Camp 3,1.0,30.0,0.25,1.0,1071.0,2817.84,2467.2197480650525,21534,1804.0
Scenario 2,Camp 4,1.0,30.0,0.25,1.0,4282.8,4500.96,9862.6626840256,21534,7216.0
Scenario 2,Camp 5,1.0,30.0,0.25,1.0,2483.6,742.52,5719.851552261867,21534,4184.0
Scenario 2,Camp 6,1.0,30.0,0.25,1.0,1698.4,2074.0,3911.861701542623,21534,2862.0
Scenario 2,Camp 7,1.0,30.0,0.25,1.0,2174.4,1628.42,5007.892230526501,21534,3664.0
Scenario 20,Camp 1,1.33,50.0,0.5,1.0,428.4,2882.1,1098.536305549275,16191,542.0
Scenario 20,Camp 2,1.33,50.0,0.5,1.0,642.6,2860.68,1646.9538896797342,16191,814.0
Scenario 20,Camp 3,1.33,50.0,0.5,1.0,1071.0,2817.84,2743.7887066778862,16191,1357.0
Scenario 20,Camp 4,1.33,50.0,0.5,1.0,4282.8,4500.96,10966.975973410426,16191,5426.0
Scenario 20,Camp 5,1.33,50.0,0.5,1.0,2483.6,742.52,6360.47548765279,16191,3146.0
Scenario 20,Camp 6,1.33,50.0,0.5,1.0,1698.4,2074.0,4350.124077232876,16191,2152.0
Scenario 20,Camp 7,1.33,50.0,0.5,1.0,2174.4,1628.42,5568.829217465454,16191,2754.0
Scenario 21,Camp 1,2.0,20.0,0.5,1.0,428.4,2882.1,407.31092440865274,10767,362.0
Scenario 21,Camp 2,2.0,20.0,0.5,1.0,642.6,2860.68,610.4927198577443,10767,542.0
Scenario 21,Camp 3,2.0,20.0,0.5,1.0,1071.0,2817.84,1016.8560169485006,10767,903.0
Scenario 21,Camp 4,2.0,20.0,0.5,1.0,4282.8,4500.96,4063.441221816878,10767,3606.0
Scenario 21,Camp 5,2.0,20.0,0.5,1.0,2483.6,742.52,2356.792029965021,10767,2092.0
Scenario 21,Camp 6,2.0,20.0,0.5,1.0,1698.4,2074.0,1611.9826650997184,10767,1430.0
Scenario 21,Camp 7,2.0,20.0,0.5,1.0,2174.4,1628.42,2063.497262213873,10767,1832.0
Scenario 22,Camp 1,2.0,30.0,0.5,1.0,428.4,2882.1,494.3641257426343,10767,362.0
Scenario 22,Camp 2,2.0,30.0,0.5,1.0,642.6,2860.68,740.9712866476343,10767,542.0
Scenario 22,Camp 3,2.0,30.0,0.5,1.0,1071.0,2817.84,1234.1852518557291,10767,902.0
Scenario 22,Camp 4,2.0,30.0,0.5,1.0,4282.8,4500.96,4931.906921098551,10767,3607.0
Scenario 22,Camp 5,2.0,30.0,0.5,1.0,2483.6,742.52,2860.5013065692156,10767,2092.0
Scenario 22,Camp 6,2.0,30.0,0.5,1.0,1698.4,2074.0,1956.5063276937112,10767,1430.0
Scenario 22,Camp 7,2.0,30.0,0.5,1.0,2174.4,1628.42,2504.521629238702,10767,1832.0
Scenario 23,Camp 1,2.0,40.0,0.5,1.0,428.4,2882.1,556.1293550373858,10767,362.0
Scenario 23,Camp 2,2.0,40.0,0.5,1.0,642.6,2860.68,833.5473030644163,10767,542.0
Scenario 23,Camp 3,2.0,40.0,0.5,1.0,1071.0,2817.84,1388.38279796318,10767,902.0
Scenario 23,Camp 4,2.0,40.0,0.5,1.0,4282.8,4500.96,5548.093140890333,10767,3607.0
Scenario 23,Camp 5,2.0,40.0,0.5,1.0,2483.6,742.52,3217.8887258783643,10767,2092.0
Scenario 23,Camp 6,2.0,40.0,0.5,1.0,1698.4,2074.0,2200.949756441908,10767,1430.0
Scenario 23,Camp 7,2.0,40.0,0.5,1.0,2174.4,1628.42,2817.4333974039464,10767,1832.0
Scenario 24,Camp 1,2.0,50.0,0.5,1.0,428.4,2882.1,604.0381888938209,10767,362.0
Scenario 24,Camp 2,2.0,50.0,0.5,1.0,642.6,2860.68,905.3548400920347,10767,542.0
Scenario 24,Camp 3,2.0,50.0,0.5,1.0,1071.0,2817.84,1507.9877067748703,10767,903.0
Scenario 24,Camp 4,2.0,50.0,0.5,1.0,4282.8,4500.96,6026.044304768518,10767,3606.0
Scenario 24,Camp 5,2.0,50.0,0.5,1.0,2483.6,742.52,3495.0999447075496,10767,2092.0
Scenario 24,Camp 6,2.0,50.0,0.5,1.0,1698.4,2074.0,2390.5548101090503,10767,1430.0
Scenario 24,Camp 7,2.0,50.0,0.5,1.0,2174.4,1628.42,3060.146621072428,10767,1832.0
Scenario 25,Camp 1,1.0,20.0,0.75,1.0,428.4,2882.1,1756.0635872240807,21534,722.0
Scenario 25,Camp 2,1.0,20.0,0.75,1.0,642.6,2860.68,2633.072457417022,21534,1082.0
Scenario 25,Camp 3,1.0,20.0,0.75,1.0,1071.0,2817.84,4387.089879993091,21534,1804.0
Scenario 25,Camp 4,1.0,20.0,0.75,1.0,4282.8,4500.96,17537.305983712224,21534,7216.0
Scenario 25,Camp 5,1.0,20.0,0.75,1.0,2483.6,742.52,10170.761189663264,21534,4184.0
Scenario 25,Camp 6,1.0,20.0,0.75,1.0,1698.4,2074.0,6955.881775925903,21534,2862.0
Scenario 25,Camp 7,1.0,20.0,0.75,1.0,2174.4,1628.42,8904.789831497232,21534,3664.0
Scenario 26,Camp 1,1.0,30.0,0.75,1.0,428.4,2882.1,1929.9674933116014,21534,722.0
Scenario 26,Camp 2,1.0,30.0,0.75,1.0,642.6,2860.68,2893.827015900933,21534,1082.0
Scenario 26,Camp 3,1.0,30.0,0.75,1.0,1071.0,2817.84,4821.545711796907,21534,1804.0
Scenario 26,Camp 4,1.0,30.0,0.75,1.0,4282.8,4500.96,19274.034673383776,21534,7216.0
Scenario 26,Camp 5,1.0,30.0,0.75,1.0,2483.6,742.52,11177.97705111265,21534,4184.0
Scenario 26,Camp 6,1.0,30.0,0.75,1.0,1698.4,2074.0,7644.726428202243,21534,2862.0
Scenario 26,Camp 7,1.0,30.0,0.75,1.0,2174.4,1628.42,9786.635879585809,21534,3664.0
Scenario 27,Camp 1,1.0,40.0,0.75,1.0,428.4,2882.1,2053.3542782908203,21534,722.0
Scenario 27,Camp 2,1.0,40.0,0.75,1.0,642.6,2860.68,3078.8353194166307,21534,1082.0
Scenario 27,Camp 3,1.0,40.0,0.75,1.0,1071.0,2817.84,5129.797030055203,21534,1804.0
Scenario 27,Camp 4,1.0,40.0,0.75,1.0,4282.8,4500.96,20506.263288719758,21534,7216.0
Scenario 27,Camp 5,1.0,40.0,0.75,1.0,2483.6,742.52,11892.608077639272,21534,4184.0
Scenario 27,Camp 6,1.0,40.0,0.75,1.0,1698.4,2074.0,8133.469486979373,21534,2862.0
Scenario 27,Camp 7,1.0,40.0,0.75,1.0,2174.4,1628.42,10412.31560793831,21534,3664.0
Scenario 28,Camp 1,1.0,50.0,0.75,1.0,428.4,2882.1,2149.060504093683,21534,722.0
Scenario 28,Camp 2,1.0,50.0,0.75,1.0,642.6,2860.68,3222.3389083517027,21534,1082.0
Scenario 28,Camp 3,1.0,50.0,0.75,1.0,1071.0,2817.84,5368.895327933921,21534,1804.0
Scenario 28,Camp 4,1.0,50.0,0.75,1.0,4282.8,4500.96,21462.05405772275,21534,7216.0
Scenario 28,Camp 5,1.0,50.0,0.75,1.0,2483.6,742.52,12446.91896597312,21534,4184.0
Scenario 28,Camp 6,1.0,50.0,0.75,1.0,1698.4,2074.0,8512.568055361586,21534,2862.0
Scenario 28,Camp 7,1.0,50.0,0.75,1.0,2174.4,1628.42,10897.630509141578,21534,3664.0
Scenario 29,Camp 1,1.33,20.0,0.75,1.0,428.4,2882.1,1049.362261316763,16191,543.0
Scenario 29,Camp 2,1.33,20.0,0.75,1.0,642.6,2860.68,1573.2308975392739,16191,814.0
Scenario 29,Camp 3,1.33,20.0,0.75,1.0,1071.0,2817.84,2620.9678344451895,16191,1356.0
Scenario 29,Camp 4,1.33,20.0,0.75,1.0,4282.8,4500.96,10476.058596452425,16191,5426.0
Scenario 29,Camp 5,1.33,20.0,0.75,1.0,2483.6,742.52,6075.759997240973,16191,3146.0
Scenario 29,Camp 6,1.33,20.0,0.75,1.0,1698.4,2074.0,4155.39842937747,16191,2152.0
Scenario 29,Camp 7,1.33,20.0,0.75,1.0,2174.4,1628.42,5319.550378996815,16191,2754.0
Scenario 3,Camp 1,1.0,40.0,0.25,1.0,428.4,2882.1,1110.9650839823,21534,722.0
Scenario 3,Camp 2,1.0,40.0,0.25,1.0,642.6,2860.68,1665.8004784495936,21534,1082.0
Scenario 3,Camp 3,1.0,40.0,0.25,1.0,1071.0,2817.84,2775.471066323348,21534,1804.0
Scenario 3,Camp 4,1.0,40.0,0.25,1.0,4282.8,4500.96,11094.891299361581,21534,7216.0
Scenario 3,Camp 5,1.0,40.0,0.25,1.0,2483.6,742.52,6434.482578788488,21534,4184.0
Scenario 3,Camp 6,1.0,40.0,0.25,1.0,1698.4,2074.0,4400.604760319752,21534,2862.0
Scenario 3,Camp 7,1.0,40.0,0.25,1.0,2174.4,1628.42,5633.571958879003,21534,3664.0
Scenario 30,Camp 1,1.33,30.0,0.75,1.0,428.4,2882.1,1180.1673344821163,16191,543.0
Scenario 30,Camp 2,1.33,30.0,0.75,1.0,642.6,2860.68,1769.3372282552214,16191,814.0
Scenario 30,Camp 3,1.33,30.0,0.75,1.0,1071.0,2817.84,2947.6766384367143,16191,1356.0
Scenario 30,Camp 4,1.33,30.0,0.75,1.0,4282.8,4500.96,11781.919938820485,16191,5426.0
Scenario 30,Camp 5,1.33,30.0,0.75,1.0,2483.6,742.52,6833.115450425439,16191,3146.0
Scenario 30,Camp 6,1.33,30.0,0.75,1.0,1698.4,2074.0,4673.377029926589,16191,2152.0
Scenario 30,Camp 7,1.33,30.0,0.75,1.0,2174.4,1628.42,5982.642813499203,16191,2754.0
Scenario 31,Camp 1,1.33,40.0,0.75,1.0,428.4,2882.1,1272.9750108589878,16191,543.0
Scenario 31,Camp 2,1.33,40.0,0.75,1.0,642.6,2860.68,1908.4768842036888,16191,814.0
Scenario 31,Camp 3,1.33,40.0,0.75,1.0,1071.0,2817.84,3179.48022385263,16191,1356.0
Scenario 31,Camp 4,1.33,40.0,0.75,1.0,4282.8,4500.96,12708.443306169991,16191,5426.0
Scenario 31,Camp 5,1.33,40.0,0.75,1.0,2483.6,742.52,7370.467696026416,16191,3146.0
Scenario 31,Camp 6,1.33,40.0,0.75,1.0,1698.4,2074.0,5040.888695694613,16191,2152.0
Scenario 31,Camp 7,1.33,40.0,0.75,1.0,2174.4,1628.42,6453.114382988371,16191,2754.0
Scenario 32,Camp 1,1.33,50.0,0.75,1.0,428.4,2882.1,1344.9622373116413,16191,542.0
Scenario 32,Camp 2,1.33,50.0,0.75,1.0,642.6,2860.68,2016.401986009198,16191,814.0
Scenario 32,Camp 3,1.33,50.0,0.75,1.0,1071.0,2817.84,3359.281053345556,16191,1357.0
Scenario 32,Camp 4,1.33,50.0,0.75,1.0,4282.8,4500.96,13427.110662825045,16191,5426.0
Scenario 32,Camp 5,1.33,50.0,0.75,1.0,2483.6,742.52,7787.270478932415,16191,3146.0
Scenario 32,Camp 6,1.33,50.0,0.75,1.0,1698.4,2074.0,5325.952890171395,16191,2152.0
Scenario 32,Camp 7,1.33,50.0,0.75,1.0,2174.4,1628.42,6818.040483226264,16191,2754.0
Scenario 33,Camp 1,2.0,20.0,0.75,1.0,428.4,2882.1,533.5084932201809,10767,362.0
Scenario 33,Camp 2,2.0,20.0,0.75,1.0,642.6,2860.68,799.6423164099059,10767,542.0
Scenario 33,Camp 3,2.0,20.0,0.75,1.0,1071.0,2817.84,1331.9095779512675,10767,902.0
Scenario 33,Camp 4,2.0,20.0,0.75,1.0,4282.8,4500.96,5322.421456502039,10767,3607.0
Scenario 33,Camp 5,2.0,20.0,0.75,1.0,2483.6,742.52,3086.9993643442253,10767,2092.0
Scenario 33,Camp 6,2.0,20.0,0.75,1.0,1698.4,2074.0,2111.424936620562,10767,1430.0
Scenario 33,Camp 7,2.0,20.0,0.75,1.0,2174.4,1628.42,2702.8327725950503,10767,1832.0
Scenario 34,Camp 1,2.0,30.0,0.75,1.0,428.4,2882.1,620.5616945541625,10767,362.0
