Scenarios,Camps Name,Mu,delta_D,alpha,delta_R,lambda_C,lambda_S,omega,Supply,Optimal Allocated Aid
Scenario 100,Camp 7,1,50,0.75,3,2174.4,1628.42,8508.258685,37860,6440
Scenario 101,Camp 1,2,20,0.75,3,428.4,2882.1,297.6368613,11358,297.6368613
Scenario 101,Camp 2,2,20,0.75,3,642.6,2860.68,446.1091664,11358,486
Scenario 101,Camp 3,2,20,0.75,3,1071,2817.84,743.053562,11358,902
Scenario 101,Camp 4,2,20,0.75,3,4282.8,4500.96,2969.303838,11358,3874
Scenario 101,Camp 5,2,20,0.75,3,2483.6,742.52,1722.193392,11358,2286
Scenario 101,Camp 6,2,20,0.75,3,1698.4,2074,1177.934183,11358,1526.363139
Scenario 101,Camp 7,2,20,0.75,3,2174.4,1628.42,1507.87227,11358,1986
Scenario 101,Camp 1,2,20,0.75,3,428.4,2882.1,297.6368613,15144,692
Scenario 101,Camp 2,2,20,0.75,3,642.6,2860.68,446.1091664,15144,926
Scenario 101,Camp 3,2,20,0.75,3,1071,2817.84,743.053562,15144,1390
Scenario 101,Camp 4,2,20,0.75,3,4282.8,4500.96,2969.303838,15144,4978
Scenario 101,Camp 5,2,20,0.75,3,2483.6,742.52,1722.193392,15144,2692
Scenario 101,Camp 6,2,20,0.75,3,1698.4,2074,1177.934183,15144,2002
Scenario 101,Camp 7,2,20,0.75,3,2174.4,1628.42,1507.87227,15144,2464
Scenario 101,Camp 1,2,20,0.75,3,428.4,2882.1,297.6368613,18930,1106
Scenario 101,Camp 2,2,20,0.75,3,642.6,2860.68,446.1091664,18930,1364
Scenario 101,Camp 3,2,20,0.75,3,1071,2817.84,743.053562,18930,1878
Scenario 101,Camp 4,2,20,0.75,3,4282.8,4500.96,2969.303838,18930,6076
Scenario 101,Camp 5,2,20,0.75,3,2483.6,742.52,1722.193392,18930,3096
Scenario 101,Camp 6,2,20,0.75,3,1698.4,2074,1177.934183,18930,2472
Scenario 101,Camp 7,2,20,0.75,3,2174.4,1628.42,1507.87227,18930,2938
Scenario 102,Camp 1,2,30,0.75,3,428.4,2882.1,384.6900626,11358,380
Scenario 102,Camp 2,2,30,0.75,3,642.6,2860.68,576.5877332,11358,572
Scenario 102,Camp 3,2,30,0.75,3,1071,2817.84,960.3827969,11358,952
Scenario 102,Camp 4,2,30,0.75,3,4282.8,4500.96,3837.769537,11358,3806
Scenario 102,Camp 5,2,30,0.75,3,2483.6,742.52,2225.902668,11358,2206
Scenario 102,Camp 6,2,30,0.75,3,1698.4,2074,1522.457845,11358,1510
Scenario 102,Camp 7,2,30,0.75,3,2174.4,1628.42,1948.896637,11358,1932
Scenario 102,Camp 1,2,30,0.75,3,428.4,2882.1,384.6900626,15144,500
Scenario 102,Camp 2,2,30,0.75,3,642.6,2860.68,576.5877332,15144,760
Scenario 102,Camp 3,2,30,0.75,3,1071,2817.84,960.3827969,15144,1278
Scenario 102,Camp 4,2,30,0.75,3,4282.8,4500.96,3837.769537,15144,5092
Scenario 102,Camp 5,2,30,0.75,3,2483.6,742.52,2225.902668,15144,2916
Scenario 102,Camp 6,2,30,0.75,3,1698.4,2074,1522.457845,15144,2022
Scenario 102,Camp 7,2,30,0.75,3,2174.4,1628.42,1948.896637,15144,2576
Scenario 102,Camp 1,2,30,0.75,3,428.4,2882.1,384.6900626,18930,912
Scenario 102,Camp 2,2,30,0.75,3,642.6,2860.68,576.5877332,18930,1198
Scenario 102,Camp 3,2,30,0.75,3,1071,2817.84,960.3827969,18930,1764
Scenario 102,Camp 4,2,30,0.75,3,4282.8,4500.96,3837.769537,18930,6190
Scenario 102,Camp 5,2,30,0.75,3,2483.6,742.52,2225.902668,18930,3320
Scenario 102,Camp 6,2,30,0.75,3,1698.4,2074,1522.457845,18930,2494
Scenario 102,Camp 7,2,30,0.75,3,2174.4,1628.42,1948.896637,18930,3052
Scenario 103,Camp 1,2,40,0.75,3,428.4,2882.1,446.4552919,11358,380
Scenario 103,Camp 2,2,40,0.75,3,642.6,2860.68,669.1637496,11358,572
Scenario 103,Camp 3,2,40,0.75,3,1071,2817.84,1114.580343,11358,952
Scenario 103,Camp 4,2,40,0.75,3,4282.8,4500.96,4453.955757,11358,3806
Scenario 103,Camp 5,2,40,0.75,3,2483.6,742.52,2583.290088,11358,2206
Scenario 103,Camp 6,2,40,0.75,3,1698.4,2074,1766.901274,11358,1510
Scenario 103,Camp 7,2,40,0.75,3,2174.4,1628.42,2261.808406,11358,1932
Scenario 103,Camp 1,2,40,0.75,3,428.4,2882.1,446.4552919,15144,446.4552919
Scenario 103,Camp 2,2,40,0.75,3,642.6,2860.68,669.1637496,15144,669.1637496
Scenario 103,Camp 3,2,40,0.75,3,1071,2817.84,1114.580343,15144,1178
Scenario 103,Camp 4,2,40,0.75,3,4282.8,4500.96,4453.955757,15144,5130.380958
Scenario 103,Camp 5,2,40,0.75,3,2483.6,742.52,2583.290088,15144,3060
Scenario 103,Camp 6,2,40,0.75,3,1698.4,2074,1766.901274,15144,2020
Scenario 103,Camp 7,2,40,0.75,3,2174.4,1628.42,2261.808406,15144,2640
Scenario 103,Camp 1,2,40,0.75,3,428.4,2882.1,446.4552919,18930,776
Scenario 103,Camp 2,2,40,0.75,3,642.6,2860.68,669.1637496,18930,1080
Scenario 103,Camp 3,2,40,0.75,3,1071,2817.84,1114.580343,18930,1682
Scenario 103,Camp 4,2,40,0.75,3,4282.8,4500.96,4453.955757,18930,6272
Scenario 103,Camp 5,2,40,0.75,3,2483.6,742.52,2583.290088,18930,3480
Scenario 103,Camp 6,2,40,0.75,3,1698.4,2074,1766.901274,18930,2508
Scenario 103,Camp 7,2,40,0.75,3,2174.4,1628.42,2261.808406,18930,3132
Scenario 104,Camp 1,2,50,0.75,3,428.4,2882.1,494.3641257,11358,380
Scenario 104,Camp 2,2,50,0.75,3,642.6,2860.68,740.9712866,11358,572
Scenario 104,Camp 3,2,50,0.75,3,1071,2817.84,1234.185252,11358,952
Scenario 104,Camp 4,2,50,0.75,3,4282.8,4500.96,4931.906921,11358,3806
Scenario 104,Camp 5,2,50,0.75,3,2483.6,742.52,2860.501307,11358,2206
Scenario 104,Camp 6,2,50,0.75,3,1698.4,2074,1956.506328,11358,1510
Scenario 104,Camp 7,2,50,0.75,3,2174.4,1628.42,2504.521629,11358,1932
Scenario 104,Camp 1,2,50,0.75,3,428.4,2882.1,494.3641257,15144,494.3641257
Scenario 104,Camp 2,2,50,0.75,3,642.6,2860.68,740.9712866,15144,740.9712866
Scenario 104,Camp 3,2,50,0.75,3,1071,2817.84,1234.185252,15144,1234.185252
Scenario 104,Camp 4,2,50,0.75,3,4282.8,4500.96,4931.906921,15144,4993.973008
Scenario 104,Camp 5,2,50,0.75,3,2483.6,742.52,2860.501307,15144,3110
Scenario 104,Camp 6,2,50,0.75,3,1698.4,2074,1956.506328,15144,1956.506328
